model,prompt,Accuracy,Precision,Recall,TPR,TNR,$F_{1}$,$F_{2}$,BAC,auROC
Mixtral,base,0.496,0.14,0.5679,0.5679,0.4854,0.2247,0.3525,0.5267,0.5267
Mixtral,sens_cats,0.5349,0.1748,0.7037,0.7037,0.51,0.2801,0.4385,0.6069,0.6069
Mixtral,all_cats,0.5619,0.1934,0.7593,0.7593,0.5328,0.3083,0.479,0.646,0.646
Mixtral,base_sens,0.5405,0.1436,0.5185,0.5185,0.5437,0.2249,0.3406,0.5311,0.5311
Mixtral,sens_cats_sens,0.6476,0.2013,0.5864,0.5864,0.6566,0.2997,0.4241,0.6215,0.6215
Mixtral,all_cats_sens,0.646,0.2216,0.6975,0.6975,0.6384,0.3363,0.4879,0.668,0.668
Mixtral,base_few,0.8214,0.2941,0.2778,0.2778,0.9016,0.2857,0.2809,0.5897,0.5897
Mixtral,sens_cats_few,0.8651,0.4655,0.3333,0.3333,0.9435,0.3885,0.3534,0.6384,0.6384
Mixtral,all_cats_few,0.8722,0.5072,0.216,0.216,0.969,0.303,0.2441,0.5925,0.5925
Mixtral,base_sens_few,0.8548,0.2766,0.0802,0.0802,0.969,0.1244,0.0935,0.5246,0.5246
Mixtral,sens_cats_sens_few,0.8714,0.5,0.2531,0.2531,0.9627,0.3361,0.2808,0.6079,0.6079
Mixtral,all_cats_sens_few,0.8738,0.5319,0.1543,0.1543,0.98,0.2392,0.1799,0.5671,0.5671
Mixtral,all_cats_sens_hop1,0.746,0.1762,0.2654,0.2654,0.8169,0.2118,0.241,0.5412,0.5412
