,accuracy,precision,recall,f1_score,bal accuracy,f2_score
flan-large_base_sens,0.843710292249047,0.7814259671596568,0.843710292249047,0.8084561665752196,0.4993631705222002,0.8289574872727574
flan-large_base2_sens,0.5775095298602287,0.7697253047230498,0.5775095298602286,0.6483066364747122,0.46768090400165874,0.5989675749125374
flan-large_context_b1_sens,0.8716645489199492,0.7660419313850063,0.8716645489199492,0.8154472154865511,0.49782293178519593,0.8482724211946963
flan-large_context_b2_sens,0.7395171537484116,0.7694482267566853,0.7395171537484116,0.7539072902417228,0.46830292349160274,0.7451267199149142
flan-large_base_personal,,,,,,
flan-large_context_b1_personal,,,,,,
flan-large_fixed_fewshot_personal,,,,,,
flan-large_base_personal_explanation,,,,,,
flan-large_purely_personal,,,,,,
flan-large_itspersonalgenres,,,,,,
flan-large_multi_category_noanseng,,,,,,
flan-large_multi_category,,,,,,
flan-large_base_classify,0.5533672172808132,0.8035464555954357,0.5533672172808132,0.6286294213085994,0.552360712064216,0.5695208823788175
